,model,r_square_score,mae_score,mse_score,rmse_score,mape_score
0,{'RandomForestRegressor_log'},0.8845,0.5804,0.6186,0.7865,inf
1,{'RandomForestRegressor'},0.7016,1046928.3267,5330582084697.128,2308805.3371,108.7218
2,{'LinearRegression_log'},-1.0988158809252936e+20,236107692.9154,5.8833865586496694e+20,24255693267.0449,inf
3,{'LinearRegression'},0.5145,1193892.9974,8672097596319.635,2944842.5419,142.6788
4,{'DecisionTreeRegressor_log'},0.7877,0.7931,1.1368,1.0662,inf
5,{'DecisionTreeRegressor'},0.4627,1461120.1013,9596642162314.336,3097844.7608,159.3025
6,{'GradientBoostingRegressor_log'},0.8796,0.6035,0.6446,0.8029,inf
7,{'GradientBoostingRegressor'},0.6657,1097677.4194,5970528018252.738,2443466.3939,132.7018
8,{'KNeighborsRegressor_log'},0.2571,1.5478,3.9775,1.9944,inf
9,{'KNeighborsRegressor'},-0.0269,2097765.3329,18342586748846.25,4282824.6227,7360.9868
10,{'XGBRegressor_log'},0.8896,0.5675,0.5909,0.7687,inf
11,{'XGBRegressor'},0.706,1022567.3846,5250668167406.627,2291433.6489,95.3094
12,{'LGBMRegressor_log'},0.8919,0.5644,0.579,0.7609,inf
13,{'LGBMRegressor'},0.7039,1028303.5985,5289866281867.222,2299970.9307,105.7537
14,{'CatBoostRegressor_log'},0.8957,0.5531,0.5584,0.7473,inf
15,{'CatBoostRegressor'},0.7139,1003105.1847,5110107083992.607,2260554.5966,94.3261
16,{'Ridge_log'},0.8736,0.6161,0.677,0.8228,inf
17,{'Ridge'},0.5165,1192378.3431,8635931059855.626,2938695.4691,142.689
18,{'Lasso_log'},-0.0,1.8154,5.3544,2.314,inf
19,{'Lasso'},-0.218,2251994.0256,21756485215182.832,4664384.7628,19341.4244
20,{'MLP_log'},0.7691,0.8368,1.2364,1.1119,inf
21,{'MLP'},-4.1524,1971703.7816,92033682743826.33,9593418.7203,172.3246
22,{'ElasticNet_log'},-0.0,1.8154,5.3544,2.314,inf
23,{'ElasticNet'},-0.218,2251994.0256,21756485215182.832,4664384.7628,19341.4244
24,{'Keras_log'},0.5106,1.3383,2.6205,1.6188,inf
25,{'Keras'},-0.0702,2025608.9315,19116002533431.496,4372185.0983,18293.8066
